region,year,group,RRinc,RRmean,cons_2005ppp_pc,gdp_2005ppp_pc,totpop
Mature economies,1992,2,7425,12325,12317.13,26127.51,5.188628
Mature economies,1992,3,8699,12325,12317.13,26127.51,5.188628
Mature economies,1992,4,9709,12325,12317.13,26127.51,5.188628
Mature economies,1992,5,10735,12325,12317.13,26127.51,5.188628
Mature economies,1992,6,11863,12325,12317.13,26127.51,5.188628
Mature economies,1992,7,13132,12325,12317.13,26127.51,5.188628
Mature economies,1992,8,14884,12325,12317.13,26127.51,5.188628
Mature economies,1992,9,17341,12325,12317.13,26127.51,5.188628
Mature economies,1992,10,25347,12325,12317.13,26127.51,5.188628
Mature economies,1997,1,3245,12385,13644.27,29481.61,5.304219
Mature economies,1997,2,7086,12385,13644.27,29481.61,5.304219
Mature economies,1997,3,8575,12385,13644.27,29481.61,5.304219
Mature economies,1997,4,9680,12385,13644.27,29481.61,5.304219
Mature economies,1997,5,10706,12385,13644.27,29481.61,5.304219
Mature economies,1997,6,11835,12385,13644.27,29481.61,5.304219
Mature economies,1997,7,13248,12385,13644.27,29481.61,5.304219
Mature economies,1997,8,15138,12385,13644.27,29481.61,5.304219
Mature economies,1997,9,17978,12385,13644.27,29481.61,5.304219
Mature economies,1997,10,26359,12385,13644.27,29481.61,5.304219
Mature economies,2004,1,5674,14526,14620.07,32490.37,5.390574
Mature economies,2004,2,8730,14526,14620.07,32490.37,5.390574
Mature economies,2004,3,10096,14526,14620.07,32490.37,5.390574
Mature economies,2004,4,11296,14526,14620.07,32490.37,5.390574
Mature economies,2004,5,12503,14526,14620.07,32490.37,5.390574
Mature economies,2004,6,13809,14526,14620.07,32490.37,5.390574
Mature economies,2004,7,15381,14526,14620.07,32490.37,5.390574
Mature economies,2004,8,17507,14526,14620.07,32490.37,5.390574
Mature economies,2004,9,20611,14526,14620.07,32490.37,5.390574
Mature economies,2004,10,29650,14526,14620.07,32490.37,5.390574
Mature economies,2008,1,5633,14047,15882.46,34123.02,5.493621
Mature economies,2008,2,8314,14047,15882.46,34123.02,5.493621
Mature economies,2008,3,9639,14047,15882.46,34123.02,5.493621
Mature economies,2008,4,10683,14047,15882.46,34123.02,5.493621
Mature economies,2008,5,11733,14047,15882.46,34123.02,5.493621
Mature economies,2008,6,12926,14047,15882.46,34123.02,5.493621
Mature economies,2008,7,14350,14047,15882.46,34123.02,5.493621
Mature economies,2008,8,16394,14047,15882.46,34123.02,5.493621
Mature economies,2008,9,19478,14047,15882.46,34123.02,5.493621
Mature economies,2008,10,31321,14047,15882.46,34123.02,5.493621
L. America & Carib.,1986,1,233,1687,2411.365,3750.344,6.907171
L. America & Carib.,1986,2,428,1687,2411.365,3750.344,6.907171
L. America & Carib.,1986,3,624,1687,2411.365,3750.344,6.907171
L. America & Carib.,1986,4,823,1687,2411.365,3750.344,6.907171
L. America & Carib.,1986,5,1037,1687,2411.365,3750.344,6.907171
L. America & Carib.,1986,6,1285,1687,2411.365,3750.344,6.907171
L. America & Carib.,1986,7,1591,1687,2411.365,3750.344,6.907171
L. America & Carib.,1986,8,2014,1687,2411.365,3750.344,6.907171
L. America & Carib.,1986,9,2741,1687,2411.365,3750.344,6.907171
L. America & Carib.,1986,10,6091,1687,2411.365,3750.344,6.907171
L. America & Carib.,1992,1,440,2732,2880.234,4110.206,7.631076
L. America & Carib.,1992,2,738,2732,2880.234,4110.206,7.631076
L. America & Carib.,1992,3,978,2732,2880.234,4110.206,7.631076
L. America & Carib.,1992,4,1227,2732,2880.234,4110.206,7.631076
L. America & Carib.,1992,5,1508,2732,2880.234,4110.206,7.631076
L. America & Carib.,1992,6,1844,2732,2880.234,4110.206,7.631076
L. America & Carib.,1992,7,2273,2732,2880.234,4110.206,7.631076
L. America & Carib.,1992,8,2885,2732,2880.234,4110.206,7.631076
L. America & Carib.,1992,9,3967,2732,2880.234,4110.206,7.631076
L. America & Carib.,1992,10,11462,2732,2880.234,4110.206,7.631076
L. America & Carib.,1997,1,434,3311,3400.485,5029.609,8.32468
L. America & Carib.,1997,2,881,3311,3400.485,5029.609,8.32468
L. America & Carib.,1997,3,1225,3311,3400.485,5029.609,8.32468
L. America & Carib.,1997,4,1583,3311,3400.485,5029.609,8.32468
L. America & Carib.,1997,5,1983,3311,3400.485,5029.609,8.32468
L. America & Carib.,1997,6,2421,3311,3400.485,5029.609,8.32468
L. America & Carib.,1997,7,2977,3311,3400.485,5029.609,8.32468
L. America & Carib.,1997,8,3834,3311,3400.485,5029.609,8.32468
L. America & Carib.,1997,9,5238,3311,3400.485,5029.609,8.32468
L. America & Carib.,1997,10,12537,3311,3400.485,5029.609,8.32468
L. America & Carib.,2003,1,376,2831,3836.836,5936.133,8.995398
L. America & Carib.,2003,2,711,2831,3836.836,5936.133,8.995398
L. America & Carib.,2003,3,971,2831,3836.836,5936.133,8.995398
L. America & Carib.,2003,4,1254,2831,3836.836,5936.133,8.995398
L. America & Carib.,2003,5,1503,2831,3836.836,5936.133,8.995398
L. America & Carib.,2003,6,1888,2831,3836.836,5936.133,8.995398
L. America & Carib.,2003,7,2392,2831,3836.836,5936.133,8.995398
L. America & Carib.,2003,8,3088,2831,3836.836,5936.133,8.995398
L. America & Carib.,2003,9,4331,2831,3836.836,5936.133,8.995398
L. America & Carib.,2003,10,11793,2831,3836.836,5936.133,8.995398
L. America & Carib.,2008,1,507,2984,5598.259,7727.969,9.664948
L. America & Carib.,2008,2,835,2984,5598.259,7727.969,9.664948
L. America & Carib.,2008,3,1104,2984,5598.259,7727.969,9.664948
L. America & Carib.,2008,4,1391,2984,5598.259,7727.969,9.664948
L. America & Carib.,2008,5,1719,2984,5598.259,7727.969,9.664948
L. America & Carib.,2008,6,2098,2984,5598.259,7727.969,9.664948
L. America & Carib.,2008,7,2620,2984,5598.259,7727.969,9.664948
L. America & Carib.,2008,8,3336,2984,5598.259,7727.969,9.664948
L. America & Carib.,2008,9,4643,2984,5598.259,7727.969,9.664948
L. America & Carib.,2008,10,11587,2984,5598.259,7727.969,9.664948
M. East & N. Africa,1988,1,387,1512,1913.796,6212.728,24.03524
M. East & N. Africa,1988,2,602,1512,1913.796,6212.728,24.03524
M. East & N. Africa,1988,3,746,1512,1913.796,6212.728,24.03524
M. East & N. Africa,1988,4,886,1512,1913.796,6212.728,24.03524
M. East & N. Africa,1988,5,1036,1512,1913.796,6212.728,24.03524
M. East & N. Africa,1988,6,1205,1512,1913.796,6212.728,24.03524
M. East & N. Africa,1988,7,1419,1512,1913.796,6212.728,24.03524
M. East & N. Africa,1988,8,1708,1512,1913.796,6212.728,24.03524
M. East & N. Africa,1988,9,2195,1512,1913.796,6212.728,24.03524
M. East & N. Africa,1988,10,4941,1512,1913.796,6212.728,24.03524
M. East & N. Africa,1995,1,414,1441,1675.009,5625.911,27.1699
M. East & N. Africa,1995,2,591,1441,1675.009,5625.911,27.1699
M. East & N. Africa,1995,3,752,1441,1675.009,5625.911,27.1699
M. East & N. Africa,1995,4,912,1441,1675.009,5625.911,27.1699
M. East & N. Africa,1995,5,1078,1441,1675.009,5625.911,27.1699
M. East & N. Africa,1995,6,1261,1441,1675.009,5625.911,27.1699
M. East & N. Africa,1995,7,1483,1441,1675.009,5625.911,27.1699
M. East & N. Africa,1995,8,1779,1441,1675.009,5625.911,27.1699
M. East & N. Africa,1995,9,2267,1441,1675.009,5625.911,27.1699
M. East & N. Africa,1995,10,3876,1441,1675.009,5625.911,27.1699
L. America & Carib.,1987,1,235,2284,2970.748,5172.474,9.792658
L. America & Carib.,1987,2,514,2284,2970.748,5172.474,9.792658
L. America & Carib.,1987,3,783,2284,2970.748,5172.474,9.792658
L. America & Carib.,1987,4,1060,2284,2970.748,5172.474,9.792658
L. America & Carib.,1987,5,1352,2284,2970.748,5172.474,9.792658
L. America & Carib.,1987,6,1688,2284,2970.748,5172.474,9.792658
L. America & Carib.,1987,7,2101,2284,2970.748,5172.474,9.792658
L. America & Carib.,1987,8,2674,2284,2970.748,5172.474,9.792658
L. America & Carib.,1987,9,3651,2284,2970.748,5172.474,9.792658
L. America & Carib.,1987,10,8778,2284,2970.748,5172.474,9.792658
L. America & Carib.,1994,1,164,2184,3002.291,5574.905,10.95318
L. America & Carib.,1994,2,465,2184,3002.291,5574.905,10.95318
L. America & Carib.,1994,3,703,2184,3002.291,5574.905,10.95318
L. America & Carib.,1994,4,928,2184,3002.291,5574.905,10.95318
L. America & Carib.,1994,5,1186,2184,3002.291,5574.905,10.95318
L. America & Carib.,1994,6,1457,2184,3002.291,5574.905,10.95318
L. America & Carib.,1994,7,1813,2184,3002.291,5574.905,10.95318
L. America & Carib.,1994,8,2387,2184,3002.291,5574.905,10.95318
L. America & Carib.,1994,9,3352,2184,3002.291,5574.905,10.95318
L. America & Carib.,1994,10,9385,2184,3002.291,5574.905,10.95318
L. America & Carib.,1998,1,147,1980,3155.313,5766.401,11.95959
L. America & Carib.,1998,2,455,1980,3155.313,5766.401,11.95959
L. America & Carib.,1998,3,687,1980,3155.313,5766.401,11.95959
L. America & Carib.,1998,4,1301,1980,3155.313,5766.401,11.95959
L. America & Carib.,1998,5,717,1980,3155.313,5766.401,11.95959
L. America & Carib.,1998,6,1491,1980,3155.313,5766.401,11.95959
L. America & Carib.,1998,7,1867,1980,3155.313,5766.401,11.95959
L. America & Carib.,1998,8,2137,1980,3155.313,5766.401,11.95959
L. America & Carib.,1998,9,3317,1980,3155.313,5766.401,11.95959
L. America & Carib.,1998,10,7683,1980,3155.313,5766.401,11.95959
L. America & Carib.,2003,1,217,2464,3359.626,5848.516,12.98799
L. America & Carib.,2003,2,525,2464,3359.626,5848.516,12.98799
L. America & Carib.,2003,3,764,2464,3359.626,5848.516,12.98799
L. America & Carib.,2003,4,1015,2464,3359.626,5848.516,12.98799
L. America & Carib.,2003,5,1249,2464,3359.626,5848.516,12.98799
L. America & Carib.,2003,6,1589,2464,3359.626,5848.516,12.98799
L. America & Carib.,2003,7,2037,2464,3359.626,5848.516,12.98799
L. America & Carib.,2003,8,2614,2464,3359.626,5848.516,12.98799
L. America & Carib.,2003,9,3915,2464,3359.626,5848.516,12.98799
L. America & Carib.,2003,10,10712,2464,3359.626,5848.516,12.98799
L. America & Carib.,2008,1,348,3054,4014.424,7127.987,14.05674
L. America & Carib.,2008,2,794,3054,4014.424,7127.987,14.05674
L. America & Carib.,2008,3,1075,3054,4014.424,7127.987,14.05674
L. America & Carib.,2008,4,1448,3054,4014.424,7127.987,14.05674
L. America & Carib.,2008,5,1677,3054,4014.424,7127.987,14.05674
L. America & Carib.,2008,6,2135,3054,4014.424,7127.987,14.05674
L. America & Carib.,2008,7,2684,3054,4014.424,7127.987,14.05674
L. America & Carib.,2008,8,3460,3054,4014.424,7127.987,14.05674
L. America & Carib.,2008,9,4923,3054,4014.424,7127.987,14.05674
L. America & Carib.,2008,10,11996,3054,4014.424,7127.987,14.05674
M. East & N. Africa,1990,1,466,1211,1977.997,3237.323,54.43372
M. East & N. Africa,1990,2,588,1211,1977.997,3237.323,54.43372
M. East & N. Africa,1990,3,702,1211,1977.997,3237.323,54.43372
M. East & N. Africa,1990,4,810,1211,1977.997,3237.323,54.43372
M. East & N. Africa,1990,5,922,1211,1977.997,3237.323,54.43372
M. East & N. Africa,1990,6,1047,1211,1977.997,3237.323,54.43372
M. East & N. Africa,1990,7,1196,1211,1977.997,3237.323,54.43372
M. East & N. Africa,1990,8,1399,1211,1977.997,3237.323,54.43372
M. East & N. Africa,1990,9,1738,1211,1977.997,3237.323,54.43372
M. East & N. Africa,1990,10,3236,1211,1977.997,3237.323,54.43372
M. East & N. Africa,1995,1,491,1174,2164.046,3504.035,60.02042
M. East & N. Africa,1995,2,626,1174,2164.046,3504.035,60.02042
M. East & N. Africa,1995,3,717,1174,2164.046,3504.035,60.02042
M. East & N. Africa,1995,4,810,1174,2164.046,3504.035,60.02042
M. East & N. Africa,1995,5,906,1174,2164.046,3504.035,60.02042
M. East & N. Africa,1995,6,1019,1174,2164.046,3504.035,60.02042
M. East & N. Africa,1995,7,1153,1174,2164.046,3504.035,60.02042
M. East & N. Africa,1995,8,1333,1174,2164.046,3504.035,60.02042
M. East & N. Africa,1995,9,1628,1174,2164.046,3504.035,60.02042
M. East & N. Africa,1995,10,3057,1174,2164.046,3504.035,60.02042
M. East & N. Africa,1999,1,522,1346,2343.407,4000.799,65.3092
M. East & N. Africa,1999,2,683,1346,2343.407,4000.799,65.3092
M. East & N. Africa,1999,3,788,1346,2343.407,4000.799,65.3092
M. East & N. Africa,1999,4,891,1346,2343.407,4000.799,65.3092
M. East & N. Africa,1999,5,1003,1346,2343.407,4000.799,65.3092
M. East & N. Africa,1999,6,1128,1346,2343.407,4000.799,65.3092
M. East & N. Africa,1999,7,1284,1346,2343.407,4000.799,65.3092
M. East & N. Africa,1999,8,1496,1346,2343.407,4000.799,65.3092
M. East & N. Africa,1999,9,1852,1346,2343.407,4000.799,65.3092
M. East & N. Africa,1999,10,3815,1346,2343.407,4000.799,65.3092
M. East & N. Africa,2004,1,520,1350,2494.902,4378.551,71.49843
M. East & N. Africa,2004,2,690,1350,2494.902,4378.551,71.49843
M. East & N. Africa,2004,3,799,1350,2494.902,4378.551,71.49843
M. East & N. Africa,2004,4,907,1350,2494.902,4378.551,71.49843
M. East & N. Africa,2004,5,1019,1350,2494.902,4378.551,71.49843
M. East & N. Africa,2004,6,1148,1350,2494.902,4378.551,71.49843
M. East & N. Africa,2004,7,1304,1350,2494.902,4378.551,71.49843
M. East & N. Africa,2004,8,1516,1350,2494.902,4378.551,71.49843
M. East & N. Africa,2004,9,1869,1350,2494.902,4378.551,71.49843
M. East & N. Africa,2004,10,3729,1350,2494.902,4378.551,71.49843
M. East & N. Africa,2008,1,542,1368,2927.243,5216.092,78.3233
M. East & N. Africa,2008,2,722,1368,2927.243,5216.092,78.3233
M. East & N. Africa,2008,3,837,1368,2927.243,5216.092,78.3233
M. East & N. Africa,2008,4,944,1368,2927.243,5216.092,78.3233
M. East & N. Africa,2008,5,1056,1368,2927.243,5216.092,78.3233
M. East & N. Africa,2008,6,1184,1368,2927.243,5216.092,78.3233
M. East & N. Africa,2008,7,1335,1368,2927.243,5216.092,78.3233
M. East & N. Africa,2008,8,1542,1368,2927.243,5216.092,78.3233
M. East & N. Africa,2008,9,1883,1368,2927.243,5216.092,78.3233
M. East & N. Africa,2008,10,3637,1368,2927.243,5216.092,78.3233
Mature economies,1990,1,1989,7030,11104.36,19776.66,38.71585
Mature economies,1990,2,3320,7030,11104.36,19776.66,38.71585
Mature economies,1990,3,4090,7030,11104.36,19776.66,38.71585
Mature economies,1990,4,4768,7030,11104.36,19776.66,38.71585
Mature economies,1990,5,5534,7030,11104.36,19776.66,38.71585
Mature economies,1990,6,6382,7030,11104.36,19776.66,38.71585
Mature economies,1990,7,7340,7030,11104.36,19776.66,38.71585
Mature economies,1990,8,8566,7030,11104.36,19776.66,38.71585
Mature economies,1990,9,10586,7030,11104.36,19776.66,38.71585
Mature economies,1990,10,17723,7030,11104.36,19776.66,38.71585
Mature economies,1995,1,1606,8706,11614.62,21021.83,39.1894
Mature economies,1995,2,3572,8706,11614.62,21021.83,39.1894
Mature economies,1995,3,4611,8706,11614.62,21021.83,39.1894
Mature economies,1995,4,5523,8706,11614.62,21021.83,39.1894
Mature economies,1995,5,6531,8706,11614.62,21021.83,39.1894
Mature economies,1995,6,7632,8706,11614.62,21021.83,39.1894
Mature economies,1995,7,8979,8706,11614.62,21021.83,39.1894
Mature economies,1995,8,10745,8706,11614.62,21021.83,39.1894
Mature economies,1995,9,13817,8706,11614.62,21021.83,39.1894
Mature economies,1995,10,24049,8706,11614.62,21021.83,39.1894
Mature economies,2000,1,2816,10976,13890.95,25147.13,39.72111
Mature economies,2000,2,4822,10976,13890.95,25147.13,39.72111
Mature economies,2000,3,6039,10976,13890.95,25147.13,39.72111
Mature economies,2000,4,7224,10976,13890.95,25147.13,39.72111
Mature economies,2000,5,8343,10976,13890.95,25147.13,39.72111
Mature economies,2000,6,9695,10976,13890.95,25147.13,39.72111
Mature economies,2000,7,11286,10976,13890.95,25147.13,39.72111
Mature economies,2000,8,13423,10976,13890.95,25147.13,39.72111
Mature economies,2000,9,16898,10976,13890.95,25147.13,39.72111
Mature economies,2000,10,29216,10976,13890.95,25147.13,39.72111
Mature economies,2005,1,2303,10210,15291.83,27392.04,42.00452
Mature economies,2005,2,4374,10210,15291.83,27392.04,42.00452
Mature economies,2005,3,5627,10210,15291.83,27392.04,42.00452
Mature economies,2005,4,6785,10210,15291.83,27392.04,42.00452
Mature economies,2005,5,7877,10210,15291.83,27392.04,42.00452
Mature economies,2005,6,9119,10210,15291.83,27392.04,42.00452
Mature economies,2005,7,10719,10210,15291.83,27392.04,42.00452
Mature economies,2005,8,12751,10210,15291.83,27392.04,42.00452
Mature economies,2005,9,15849,10210,15291.83,27392.04,42.00452
Mature economies,2005,10,26695,10210,15291.83,27392.04,42.00452
Mature economies,2008,1,2966,10725,15591.52,28353.04,45.55572
Mature economies,2008,2,5078,10725,15591.52,28353.04,45.55572
Mature economies,2008,3,6442,10725,15591.52,28353.04,45.55572
Mature economies,2008,4,7638,10725,15591.52,28353.04,45.55572
Mature economies,2008,5,8816,10725,15591.52,28353.04,45.55572
Mature economies,2008,6,10130,10725,15591.52,28353.04,45.55572
Mature economies,2008,7,11642,10725,15591.52,28353.04,45.55572
Mature economies,2008,8,13458,10725,15591.52,28353.04,45.55572
Mature economies,2008,9,16225,10725,15591.52,28353.04,45.55572
Mature economies,2008,10,24857,10725,15591.52,28353.04,45.55572
Mature economies,1993,1,822,3287,3123.149,7427.316,1.494128
Mature economies,1993,2,1285,3287,3123.149,7427.316,1.494128
Mature economies,1993,3,1614,3287,3123.149,7427.316,1.494128
Mature economies,1993,4,1939,3287,3123.149,7427.316,1.494128
Mature economies,1993,5,2291,3287,3123.149,7427.316,1.494128
Mature economies,1993,6,2689,3287,3123.149,7427.316,1.494128
Mature economies,1993,7,3179,3287,3123.149,7427.316,1.494128
Mature economies,1993,8,3836,3287,3123.149,7427.316,1.494128
Mature economies,1993,9,4911,3287,3123.149,7427.316,1.494128
Mature economies,1993,10,10305,3287,3123.149,7427.316,1.494128
Mature economies,1998,1,1052,3481,4789.078,10397.02,1.386156
Mature economies,1998,2,1739,3481,4789.078,10397.02,1.386156
Mature economies,1998,3,2048,3481,4789.078,10397.02,1.386156
Mature economies,1998,4,2283,3481,4789.078,10397.02,1.386156
Mature economies,1998,5,2527,3481,4789.078,10397.02,1.386156
Mature economies,1998,6,2868,3481,4789.078,10397.02,1.386156
Mature economies,1998,7,3379,3481,4789.078,10397.02,1.386156
Mature economies,1998,8,4097,3481,4789.078,10397.02,1.386156
Mature economies,1998,9,5216,3481,4789.078,10397.02,1.386156
Mature economies,1998,10,9598,3481,4789.078,10397.02,1.386156
Mature economies,2008,1,1939,6151,9569.607,18941.29,1.340675
Mature economies,2008,2,3089,6151,9569.607,18941.29,1.340675
Mature economies,2008,3,3802,6151,9569.607,18941.29,1.340675
Mature economies,2008,4,4340,6151,9569.607,18941.29,1.340675
Mature economies,2008,5,4944,6151,9569.607,18941.29,1.340675
Mature economies,2008,6,5605,6151,9569.607,18941.29,1.340675
Mature economies,2008,7,6490,6151,9569.607,18941.29,1.340675
Mature economies,2008,8,7704,6151,9569.607,18941.29,1.340675
Mature economies,2008,9,9311,6151,9569.607,18941.29,1.340675
Mature economies,2008,10,14287,6151,9569.607,18941.29,1.340675
Sub-Saharan Africa,1995,1,162,544,308.3916,485.483,53.50221
Sub-Saharan Africa,1995,2,229,544,308.3916,485.483,53.50221
Sub-Saharan Africa,1995,3,274,544,308.3916,485.483,53.50221
Sub-Saharan Africa,1995,4,318,544,308.3916,485.483,53.50221
Sub-Saharan Africa,1995,5,366,544,308.3916,485.483,53.50221
Sub-Saharan Africa,1995,6,421,544,308.3916,485.483,53.50221
Sub-Saharan Africa,1995,7,490,544,308.3916,485.483,53.50221
Sub-Saharan Africa,1995,8,587,544,308.3916,485.483,53.50221
Sub-Saharan Africa,1995,9,755,544,308.3916,485.483,53.50221
Sub-Saharan Africa,1995,10,1842,544,308.3916,485.483,53.50221
Sub-Saharan Africa,1999,1,198,513,318.6876,510.418,62.17417
Sub-Saharan Africa,1999,2,271,513,318.6876,510.418,62.17417
Sub-Saharan Africa,1999,3,317,513,318.6876,510.418,62.17417
Sub-Saharan Africa,1999,4,359,513,318.6876,510.418,62.17417
Sub-Saharan Africa,1999,5,404,513,318.6876,510.418,62.17417
Sub-Saharan Africa,1999,6,453,513,318.6876,510.418,62.17417
Sub-Saharan Africa,1999,7,513,513,318.6876,510.418,62.17417
Sub-Saharan Africa,1999,8,590,513,318.6876,510.418,62.17417
Sub-Saharan Africa,1999,9,717,513,318.6876,510.418,62.17417
Sub-Saharan Africa,1999,10,1303,513,318.6876,510.418,62.17417
Sub-Saharan Africa,2005,1,250,617,441.7157,636.0687,70.78401
Sub-Saharan Africa,2005,2,321,617,441.7157,636.0687,70.78401
Sub-Saharan Africa,2005,3,381,617,441.7157,636.0687,70.78401
Sub-Saharan Africa,2005,4,435,617,441.7157,636.0687,70.78401
Sub-Saharan Africa,2005,5,489,617,441.7157,636.0687,70.78401
Sub-Saharan Africa,2005,6,546,617,441.7157,636.0687,70.78401
Sub-Saharan Africa,2005,7,613,617,441.7157,636.0687,70.78401
Sub-Saharan Africa,2005,8,703,617,441.7157,636.0687,70.78401
Sub-Saharan Africa,2005,9,850,617,441.7157,636.0687,70.78401
Sub-Saharan Africa,2005,10,1581,617,441.7157,636.0687,70.78401
Mature economies,1987,1,4095,9268,10371.71,21054.04,4.946481
Mature economies,1987,2,5729,9268,10371.71,21054.04,4.946481
Mature economies,1987,3,6629,9268,10371.71,21054.04,4.946481
Mature economies,1987,4,7408,9268,10371.71,21054.04,4.946481
Mature economies,1987,5,8168,9268,10371.71,21054.04,4.946481
Mature economies,1987,6,8953,9268,10371.71,21054.04,4.946481
Mature economies,1987,7,9909,9268,10371.71,21054.04,4.946481
Mature economies,1987,8,11112,9268,10371.71,21054.04,4.946481
Mature economies,1987,9,12873,9268,10371.71,21054.04,4.946481
Mature economies,1987,10,17806,9268,10371.71,21054.04,4.946481
Mature economies,1991,1,4667,10592,10854.11,21634.1,5.066447
Mature economies,1991,2,6526,10592,10854.11,21634.1,5.066447
Mature economies,1991,3,7494,10592,10854.11,21634.1,5.066447
Mature economies,1991,4,8343,10592,10854.11,21634.1,5.066447
Mature economies,1991,5,9190,10592,10854.11,21634.1,5.066447
Mature economies,1991,6,10130,10592,10854.11,21634.1,5.066447
Mature economies,1991,7,11229,10592,10854.11,21634.1,5.066447
Mature economies,1991,8,12723,10592,10854.11,21634.1,5.066447
Mature economies,1991,9,14851,10592,10854.11,21634.1,5.066447
Mature economies,1991,10,20764,10592,10854.11,21634.1,5.066447
Mature economies,1998,1,4408,10807,11803.93,25085.19,5.153498
Mature economies,1998,2,6045,10807,11803.93,25085.19,5.153498
Mature economies,1998,3,7048,10807,11803.93,25085.19,5.153498
Mature economies,1998,4,7946,10807,11803.93,25085.19,5.153498
Mature economies,1998,5,8898,10807,11803.93,25085.19,5.153498
Mature economies,1998,6,9898,10807,11803.93,25085.19,5.153498
Mature economies,1998,7,11098,10807,11803.93,25085.19,5.153498
Mature economies,1998,8,12765,10807,11803.93,25085.19,5.153498
Mature economies,1998,9,15203,10807,11803.93,25085.19,5.153498
Mature economies,1998,10,24764,10807,11803.93,25085.19,5.153498
Mature economies,2004,1,4972,12873,14018.21,29940.15,5.213014
Mature economies,2004,2,7115,12873,14018.21,29940.15,5.213014
Mature economies,2004,3,8379,12873,14018.21,29940.15,5.213014
Mature economies,2004,4,9387,12873,14018.21,29940.15,5.213014
Mature economies,2004,5,10433,12873,14018.21,29940.15,5.213014
Mature economies,2004,6,11671,12873,14018.21,29940.15,5.213014
Mature economies,2004,7,13259,12873,14018.21,29940.15,5.213014
Mature economies,2004,8,15284,12873,14018.21,29940.15,5.213014
Mature economies,2004,9,18301,12873,14018.21,29940.15,5.213014
Mature economies,2004,10,29930,12873,14018.21,29940.15,5.213014
Mature economies,2008,1,4874,12838,15634.43,33443.05,5.313399
Mature economies,2008,2,7046,12838,15634.43,33443.05,5.313399
Mature economies,2008,3,8352,12838,15634.43,33443.05,5.313399
Mature economies,2008,4,9435,12838,15634.43,33443.05,5.313399
Mature economies,2008,5,10579,12838,15634.43,33443.05,5.313399
Mature economies,2008,6,11821,12838,15634.43,33443.05,5.313399
Mature economies,2008,7,13307,12838,15634.43,33443.05,5.313399
Mature economies,2008,8,15245,12838,15634.43,33443.05,5.313399
Mature economies,2008,9,18257,12838,15634.43,33443.05,5.313399
Mature economies,2008,10,29462,12838,15634.43,33443.05,5.313399
Other Asia,2002,1,166,1092,1845.041,4067.534,0.817339
Other Asia,2002,2,283,1092,1845.041,4067.534,0.817339
Other Asia,2002,3,405,1092,1845.041,4067.534,0.817339
Other Asia,2002,4,533,1092,1845.041,4067.534,0.817339
Other Asia,2002,5,674,1092,1845.041,4067.534,0.817339
Other Asia,2002,6,839,1092,1845.041,4067.534,0.817339
Other Asia,2002,7,1047,1092,1845.041,4067.534,0.817339
Other Asia,2002,8,1338,1092,1845.041,4067.534,0.817339
Other Asia,2002,9,1841,1092,1845.041,4067.534,0.817339
Other Asia,2002,10,3791,1092,1845.041,4067.534,0.817339
Other Asia,2008,1,447,1692,3050.746,4300.332,0.843651
Other Asia,2008,2,602,1692,3050.746,4300.332,0.843651
Other Asia,2008,3,755,1692,3050.746,4300.332,0.843651
Other Asia,2008,4,915,1692,3050.746,4300.332,0.843651
Other Asia,2008,5,1090,1692,3050.746,4300.332,0.843651
Other Asia,2008,6,1291,1692,3050.746,4300.332,0.843651
Other Asia,2008,7,1540,1692,3050.746,4300.332,0.843651
Other Asia,2008,8,1890,1692,3050.746,4300.332,0.843651
Other Asia,2008,9,2491,1692,3050.746,4300.332,0.843651
Other Asia,2008,10,5900,1692,3050.746,4300.332,0.843651
Mature economies,1989,1,2437,10674,13408.87,23768,57.66893
Mature economies,1989,2,5036,10674,13408.87,23768,57.66893
Mature economies,1989,3,6206,10674,13408.87,23768,57.66893
Mature economies,1989,4,7389,10674,13408.87,23768,57.66893
Mature economies,1989,5,8542,10674,13408.87,23768,57.66893
Mature economies,1989,6,9790,10674,13408.87,23768,57.66893
Mature economies,1989,7,11236,10674,13408.87,23768,57.66893
Mature economies,1989,8,13195,10674,13408.87,23768,57.66893
Mature economies,1989,9,16274,10674,13408.87,23768,57.66893
Mature economies,1989,10,26635,10674,13408.87,23768,57.66893
Mature economies,1995,1,3819,13778,13952.3,25234.38,59.06559
Mature economies,1995,2,6138,13778,13952.3,25234.38,59.06559
Mature economies,1995,3,7862,13778,13952.3,25234.38,59.06559
Mature economies,1995,4,9421,13778,13952.3,25234.38,59.06559
Mature economies,1995,5,10993,13778,13952.3,25234.38,59.06559
Mature economies,1995,6,12704,13778,13952.3,25234.38,59.06559
Mature economies,1995,7,14559,13778,13952.3,25234.38,59.06559
Mature economies,1995,8,17023,13778,13952.3,25234.38,59.06559
Mature economies,1995,9,20611,13778,13952.3,25234.38,59.06559
Mature economies,1995,10,34649,13778,13952.3,25234.38,59.06559
Mature economies,2000,1,4018,12450,15433.54,28209.95,60.29915
Mature economies,2000,2,6034,12450,15433.54,28209.95,60.29915
Mature economies,2000,3,7344,12450,15433.54,28209.95,60.29915
Mature economies,2000,4,8568,12450,15433.54,28209.95,60.29915
Mature economies,2000,5,9882,12450,15433.54,28209.95,60.29915
Mature economies,2000,6,11290,12450,15433.54,28209.95,60.29915
Mature economies,2000,7,12948,12450,15433.54,28209.95,60.29915
Mature economies,2000,8,15223,12450,15433.54,28209.95,60.29915
